id,year,month,title,series,thumbnail,writer,penciler,inker,letterer,description,grade,CGC
11067,1966,6,Strange Tales  #145,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/3/03/6643747a4c005/portrait_uncanny.jpg,"Stan Lee, Dennis O'neil","Don Heck, Jack Kirby","Steve Ditko, Mike Esposito","Sam Rosen, Art Simek","S.H.I.E.L.D. pulls out the big guns by deploying Nick Fury Life Model Decoys, (LMDs). The Druid's eggs begin to hatch and all hope is lost. Will Jasper Sitwell prove the hero of the day? Plus, a descendant of Grigori Rasputin threatens Strange with black magic.",4.5,
11427,1966,6,Tales to Astonish  #80,Tales to Astonish,http://i.annihil.us/u/prod/marvel/i/mg/8/80/536d4ab702ac1/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Bill Everett,Art Simek,The Incredible Hulk is sent to a brand new dimension....home to Tyranus!,2.5,
8151,1966,6,Daredevil  #17,Daredevil,http://i.annihil.us/u/prod/marvel/i/mg/d/03/5722185c1858e/portrait_uncanny.jpg,Stan Lee,John Romita Sr.,Frank Giacoia,Sam Rosen,"The Masked Marauder's plot to pit Spider-Man and Daredevil against each other becomes reality, as Spider-Man crashes into the law office of Nelson and Murdock! But what happens when Spidey has the wrong man pegged as Daredevil? Foggy proves he will stop at nothing to win over Karen's affection, while Daredevil and Spider-Man reach a truce. With the two heroes aligned, will the Masked Marauder be eliminated at long last?",2.5,
12468,1966,6,Uncanny X-Men  #21,Uncanny X-Men,http://i.annihil.us/u/prod/marvel/i/mg/3/60/58a20e65c1179/portrait_uncanny.jpg,Roy Thomas,Werner Roth,Dick Ayers,Art Simek,"In the desert dwells Dominus! The X-Men must defeat an enemy they don't dare attack, but Lucifer's robots aren't returning the favor!",3,
18603,1966,7,Two-Gun Kid  #82,Two-Gun Kid,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_uncanny.jpg,"Bill Everett, Larry Lieber",Dick Ayers,Mike Esposito,Artie Simek,None,5.5,
7175,1966,7,Avengers  #30,Avengers,http://i.annihil.us/u/prod/marvel/i/mg/c/b0/586292faeb6cc/portrait_uncanny.jpg,,,,,"Goliath sets off to South America to find a cure for Quicksilver and the Scarlet Witch's dwindling powers, while the other Avengers take on the Black Widow and her unit once again. This time, Hawkeye wants to take them down all by himself!",5.5,
6793,1966,7,The Amazing Spider-Man  #38,The Amazing Spider-Man,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/57a0fb4325a81/portrait_uncanny.jpg,"Steve Ditko, Stan Lee",,,Art Simek,"There's a bounty on Spider-Man's head and Norman Osborn is behind it! As if struggling with homework wasn't enough, Peter Parker must confront the villains who are seeking his life. Also, a chemically-altered boxer named Joe Smith may be stirring up trouble for Spider-Man.",7,
13258,1966,7,Fantastic Four  #52,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/3/60/5372d7b815a17/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Joe Sinnott,Sam Rosen,"The First Appearance of The Black Panther, T'Challa, as well as the nation of Wakanda!  On a mission in the remote wilderness of Wakanda, the Fantastic Four encounter one of Marvel's most iconic heroes...and are bested in battle by the Black Panther!  But how are the Inhumans involved in this earthly encounter?",7,
11068,1966,7,Strange Tales  #146,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/7/70/6643747a9f9ce/portrait_uncanny.jpg,"Stan Lee, Dennis O'neil","Don Heck, Jack Kirby","Steve Ditko, Mike Esposito","Sam Rosen, Art Simek","Who is 'THEM' and what is A.I.M.? Marvel's resident mad scientists in their first ever appearance! Advanced Idea Mechanics have their eye on the future- but could their vision be a nightmare for the rest of us? Plus, can Eternity be defeated? Dormammu, Lord of the Dark Dimension, seems to think so!",3.5,
11324,1966,7,Tales of Suspense  #79,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/536d4a839462d/portrait_uncanny.jpg,Stan Lee,"Gene Colan, Jack Kirby","Jack Abel, Frank Giacoia",Art Simek,"Tony Stark has returned to the States after his big battle to discover that his factories have been closed, his accounts frozen, and a warrant out for his arrest.",5.5,
